Name,Longitude location of institution,Latitude location of institution,SAT Critical Reading 75th percentile score,SAT Math 75th percentile score,SAT Writing 75th percentile score,ACT Composite 75th percentile score,Percent admitted - total,"Tuition and fees, 2013-14",Total price for in-state students living on campus 2013-14,Total price for out-of-state students living on campus 2013-14,Control of institution,Undergraduate enrollment,"Graduation rate - Bachelor degree within 4 years, total",Enrolled total,Applicants total
City University of Seattle,-122.344331,47.61734,,,,,,14880,,,Private not-for-profit,1272,0,,
Eastern Washington University,-117.589371,47.491293,540,550,520,23,80,7961,21626,33277,Public,11678,19,1579,5204
The Evergreen State College,-122.977492,47.07382,630,580,590,27,97,8574,22641,34728,Public,4087,43,509,1583
Gonzaga University,-117.403062,47.668144,640,650,,29,67,35062,48530,48530,Private not-for-profit,4896,71,1096,6991
Heritage University,-120.395287,46.374571,,,,,,17744,,,Private not-for-profit,876,3,,
Trinity Lutheran College,-122.207663,47.980328,515,547,,,96,27042,38142,38142,Private not-for-profit,194,79,57,282
Northwest University,-122.191505,47.657743,600,570,570,28,97,25934,36174,36174,Private not-for-profit,1438,37,218,465
Pacific Lutheran University,-122.445372,47.145494,610,610,590,28,77,34740,48308,48308,Private not-for-profit,3142,55,648,3443
University of Puget Sound,-122.479714,47.263651,670,660,670,30,85,41868,55948,55948,Private not-for-profit,2544,68,670,4588
Saint Martin's University,-122.815732,47.04328,580,600,570,25,88,30284,44038,44038,Private not-for-profit,1428,35,159,653
Seattle Pacific University,-122.362923,47.649338,630,610,620,28,72,33813,47674,47674,Private not-for-profit,3366,54,767,5165
Seattle University,-122.3197,47.610138,640,630,630,29,73,36465,52605,52605,Private not-for-profit,4608,59,976,7160
Walla Walla University,-118.389771,46.047,600,600,570,27,93,25377,35670,35670,Private not-for-profit,1686,17,393,1051
Washington State University,-117.158168,46.730448,570,580,550,25,82,12327,27697,40779,Public,23070,40,4163,14887
University of Washington-Seattle Campus,-122.313115,47.656213,650,710,640,30,55,12397,27034,46608,Public,29756,57,6253,30199
Western Washington University,-122.484873,48.737236,620,600,,28,84,8863,22671,33560,Public,14026,38,2795,9526
Whitman College,-118.33016,46.07135,730,693,700,32,57,43500,56600,56600,Private not-for-profit,1541,80,392,2586
Whitworth University,-117.418078,47.753699,,,,,65,36012,48055,48055,Private not-for-profit,2358,65,593,4044
Alderson Broaddus University,-80.047728,39.158067,520,530,490,24,43,22740,33296,33296,Private not-for-profit,1052,35,438,4892
Bethany College,-80.56916,40.204594,530,510,490,24,49,25736,39082,39082,Private not-for-profit,693,39,185,1736
Bluefield State College,-81.235428,37.26688,500,430,510,21,43,5564,,,Public,1747,6,306,1125
University of Charleston,-81.618667,38.332577,515,535,,24,69,19650,32850,32850,Private not-for-profit,1386,35,272,1312
Concord University,-81.005694,37.423854,530,520,520,24,46,6160,17720,25050,Public,2505,19,529,2698
Davis & Elkins College,-79.846391,38.928693,520,540,,23,57,24992,36442,36442,Private not-for-profit,874,22,269,1022
Fairmont State University,-80.161844,39.485925,520,520,,23,66,5824,17310,23774,Public,3966,14,757,2799
Glenville State College,-80.833597,38.935341,480,460,,21,74,6384,21300,29316,Public,1850,13,315,1198
Marshall University,-82.43065,38.42261,550,540,540,24,79,6216,18916,27146,Public,9756,23,1858,2866
Ohio Valley University,-81.5392,39.31236,520,520,500,23,36,18750,28850,28850,Private not-for-profit,410,22,91,904
West Virginia University at Parkersburg,-81.506192,39.216379,,,,,,2712,,,Public,3461,7,,
Shepherd University,-77.804844,39.434319,560,540,,24,81,6256,19311,28895,Public,3990,18,756,2023
West Virginia State University,-81.76802,38.379002,495,480,470,22,45,5932,18141,26073,Public,2622,4,418,2202
West Liberty University,-80.604054,40.162473,510,530,500,24,71,6226,20026,27340,Public,2660,22,501,2175
West Virginia University Institute of Technology,-81.325199,38.179427,530,550,,24,51,5808,17673,26481,Public,1222,4,199,1033
West Virginia Wesleyan College,-80.217094,38.990476,510,557,550,25,77,26794,40534,40534,Private not-for-profit,1367,43,471,1762
West Virginia University,-79.953926,39.63468,560,580,,26,85,6456,18375,31551,Public,22757,34,5135,16521
Wheeling Jesuit University,-80.690804,40.070873,563,550,550,24,69,27830,36070,36070,Private not-for-profit,1180,42,238,1258
Alverno College,-87.965498,42.983518,,,,23,79,23231,34889,34889,Private not-for-profit,1862,11,208,582
Beloit College,-89.03147,42.50363,710,660,,30,68,41250,50406,50406,Private not-for-profit,1306,70,300,2253
Cardinal Stritch University,-87.909045,43.139752,550,580,,24,84,25450,39369,39369,Private not-for-profit,2693,29,202,577
Carroll University,-88.227962,43.004647,,,,26,81,27724,40168,40168,Private not-for-profit,3119,42,700,2868
Carthage College,-87.820706,42.622893,570,610,,27,70,34850,48050,48050,Private not-for-profit,2902,54,726,7174
Concordia University-Wisconsin,-87.916628,43.254217,555,620,505,25,70,25160,38440,38440,Private not-for-profit,4363,34,580,2510
Edgewood College,-89.422122,43.058727,,,,25,77,24666,37304,37304,Private not-for-profit,1998,32,298,1297
Lakeland College,-87.884956,43.841863,520,440,450,24,66,22950,35460,35460,Private not-for-profit,2972,36,218,885
Lawrence University,-88.397822,44.261323,,,,,73,41226,51897,51897,Private not-for-profit,1553,69,395,2710
Maranatha Baptist University,-88.735055,43.195709,585,540,565,26,71,13120,24712,24712,Private not-for-profit,946,28,210,417
Marian University,-88.420638,43.777411,,,,22,76,24650,35200,35200,Private not-for-profit,1688,30,251,1021
Marquette University,-87.928121,43.038766,630,650,630,29,57,34640,48669,48669,Private not-for-profit,8365,57,1990,23432
Milwaukee School of Engineering,-87.907691,43.045364,640,680,,30,68,34470,46220,46220,Private not-for-profit,2459,39,544,2167
Mount Mary University,-88.030594,43.072303,575,585,545,23,54,25098,37512,37512,Private not-for-profit,926,21,115,478
Northland International University,-88.095933,45.58114,,,,,,13380,25020,25020,Private not-for-profit,261,35,,
Northland College,-90.874991,46.578983,630,610,,27,59,29990,40950,40950,Private not-for-profit,552,52,140,1058
Ripon College,-88.8426,43.842383,630,680,,28,75,31604,42769,42769,Private not-for-profit,904,60,238,1320
Saint Norbert College,-88.067301,44.444651,,,,27,82,31866,42042,42042,Private not-for-profit,2160,69,539,2088
Silver Lake College of the Holy Family,-87.742961,44.071038,493,505,443,23,60,23180,36020,36020,Private not-for-profit,501,24,40,170
Viterbo University,-91.244095,43.802291,,,,26,71,23330,34540,34540,Private not-for-profit,2079,31,304,1711
University of Wisconsin-Whitewater,-88.742368,42.835563,580,600,540,24,85,7578,17078,24651,Public,10864,28,2168,5704
University of Wisconsin-Eau Claire,-91.500432,44.798431,,,,26,76,8710,18505,26078,Public,10404,26,2073,6610
University of Wisconsin-Green Bay,-87.920499,44.531102,,,,25,85,7676,17968,25541,Public,6445,20,921,2520
University of Wisconsin-La Crosse,-91.230149,43.815295,,,,26,72,8769,17993,25566,Public,9702,35,1897,6982
Wisconsin Lutheran College,-88.022718,43.036943,550,585,,27,64,24770,36330,36330,Private not-for-profit,1070,45,229,870
University of Wisconsin-Oshkosh,-88.549282,44.024985,,,,24,81,7401,17561,25134,Public,12622,17,1841,5117
University of Wisconsin-Parkside,-87.855407,42.646074,,,,23,75,7316,18546,26119,Public,4450,9,712,1896
University of Wisconsin-Stout,-91.929461,44.88861,,,,24,89,8968,18718,26464,Public,8208,21,1498,3150
University of Wisconsin-Superior,-92.089039,46.717548,,,,24,89,7946,18166,25739,Public,2527,14,366,941
University of Wisconsin-Madison,-89.405356,43.073858,650,750,670,30,68,10403,23931,40181,Public,30728,55,6279,23324
University of Wisconsin-Milwaukee,-87.880488,43.076848,,,,24,86,9300,22142,31871,Public,22648,13,3492,8944
University of Wisconsin-Platteville,-90.492709,42.733936,,,,25,96,7484,17684,25257,Public,7862,19,1754,3399
University of Wisconsin-River Falls,-92.625316,44.852647,,,,24,87,7720,17678,25251,Public,5782,23,1119,2602
University of Wisconsin-Stevens Point,-89.570934,44.529582,,,,25,83,7577,16716,24289,Public,9313,22,1637,4432
University of Wyoming,-105.57204,41.311943,610,630,,27,96,4404,18145,27865,Public,10117,24,1584,4181
Stanford University,-122.182212,37.431746,780,790,780,34,6,43683,60749,60749,Private not-for-profit,7274,76,1677,38828
Purdue University-Main Campus,-86.914435,40.428206,630,690,630,30,60,9992,23242,42044,Public,30446,42,6422,31083
City College-Fort Lauderdale,-80.17007,26.18748,,,,,,15840,,,Private not-for-profit,633,,,
St John's College,-105.912226,35.666789,,,,,82,46286,59732,59732,Private not-for-profit,339,45,84,205
Antioch University-Los Angeles,-118.384651,33.98764,,,,,,,,,Private not-for-profit,319,,,
Antioch University-Santa Barbara,-119.695655,34.418961,,,,,,,,,Private not-for-profit,168,,,
Antioch University-New England,-72.293798,42.932344,,,,,,,,,Private not-for-profit,0,,,
Antioch University-Seattle,-122.342647,47.61696,,,,,79,20595,,,Private not-for-profit,230,,30,42
Antioch University-Midwest,-83.892094,39.795828,,,,,,,,,Private not-for-profit,116,,,
Mid-America Christian University,-97.578297,35.347785,,,,,,15688,27418,27418,Private not-for-profit,2407,14,,
Brandman University,-117.768624,33.655684,,,,,100,8800,,,Private not-for-profit,3885,,24,34
New College of Florida,-82.55858,27.384925,720,660,680,30,61,6866,20067,43095,Public,793,57,222,1376
Mayo Graduate School,-92.466919,44.020617,,,,,,,,,Private not-for-profit,0,,,
Pennsylvania College of Technology,-77.0265,41.2369,,,,,,14940,30193,36433,Public,5678,27,,
California State University-San Marcos,-117.158013,33.129115,530,540,,23,63,6649,23162,34322,Public,10738,13,1783,10208
Hodges University,-81.741241,26.277222,,,,,83,12740,,,Private not-for-profit,1877,0,170,221
Remington College-Honolulu Campus,-157.860023,21.309273,,,,,76,16950,,,Private not-for-profit,495,64,43,63
University of Washington-Bothell Campus,-122.191454,47.760718,560,590,530,23,76,11911,27658,47232,Public,4104,43,573,2459
University of Washington-Tacoma Campus,-122.437499,47.244967,540,550,510,23,85,11902,27649,47223,Public,3626,30,410,1198
Baker College of Port Huron,-82.469672,42.978709,,,,,,8100,,,Private not-for-profit,1039,0,,
Beacon College,-81.875619,28.810799,,,,,65,31496,45968,45968,Private not-for-profit,190,83,41,139
Everglades University,-80.108331,26.391218,,,,,91,15400,,,Private not-for-profit,1184,58,53,67
Soka University of America,-117.734893,33.549425,640,700,630,29,43,29144,43128,43128,Private not-for-profit,412,78,112,422
Baker College of Auburn Hills,-83.249027,42.659868,,,,,,8100,,,Private not-for-profit,3082,0,,
Baker College of Clinton Township,-82.90907,42.553231,,,,,,8100,,,Private not-for-profit,4358,0,,
Baker College of Cadillac,-85.380045,44.268014,,,,,,8100,20100,20100,Private not-for-profit,1545,0,,
City College-Gainesville,-82.4168,29.65601,,,,,,15840,,,Private not-for-profit,444,,,
California State University-Monterey Bay,-121.799216,36.653724,540,540,,24,44,5963,19210,30370,Public,5306,12,902,12562
Baker College of Jackson,-84.451226,42.278175,,,,,,8100,,,Private not-for-profit,2239,5,,
Baker College Center for Graduate Studies,-83.694495,42.974759,,,,,,10800,,,Private not-for-profit,4513,0,,
Johnson & Wales University-North Miami,-80.164797,25.894337,,,,,65,27456,41461,41461,Private not-for-profit,1952,31,499,5029
Trine University-Regional/Non-Traditional Campuses,-85.108364,41.176826,,,,,30,9840,,,Private not-for-profit,438,0,7,33
Ottawa University-Milwaukee,-88.115185,43.02963,,,,,,,,,Private not-for-profit,289,,,
Western Governors University,-111.869857,40.684783,,,,,,6070,,,Private not-for-profit,35493,21,,
Florida Gulf Coast University,-81.773578,26.464262,550,550,540,24,66,6118,19102,38424,Public,12907,22,2761,10804
Michigan Jewish Institute,-83.183286,42.478209,,,,,98,10700,,,Private not-for-profit,1662,13,854,1683
City College-Miami,-80.316377,25.683673,,,,,,15840,,,Private not-for-profit,283,,,
Stevens-Henager College-Murray,-111.902145,40.659626,,,,,,21600,,,Private not-for-profit,2382,63,,
Johnson & Wales University-Denver,-104.905511,39.747969,,,,,78,27456,41461,41461,Private not-for-profit,1506,48,333,1998
Marlboro College-Graduate School,-72.55636,42.850323,,,,,,,,,Private not-for-profit,14,,,
San Diego State University-Imperial Valley Campus,-115.492718,32.672361,480,500,,21,61,5706,,,Public,740,33,101,201
Nevada State College,-114.938929,35.987249,,,,,50,4482,,,Public,3377,3,322,1344
California State University-Channel Islands,-119.04356,34.162949,530,530,,23,64,6471,25007,36167,Public,4963,21,756,6960
Baker College of Allen Park,-83.203166,42.274542,,,,,,8100,,,Private not-for-profit,3795,,,
Flagler College-Tallahassee,-84.341098,30.444664,,,,,,,,,Private not-for-profit,478,,,
Central Methodist University-College of Graduate and Extended Studies,-92.686156,39.150383,,,,,,,,,Private not-for-profit,4330,,,
Johnson & Wales University-Charlotte,-80.8509,35.23294,,,,,60,27456,41663,41663,Private not-for-profit,2325,41,613,4543
Ave Maria University,-81.441082,26.33711,620,590,600,26,60,23000,36860,36860,Private not-for-profit,906,55,254,1611
Harrisburg University of Science and Technology,-76.8808,40.261303,,,,,,23900,37800,37800,Private not-for-profit,289,24,,
Stevens-Henager College-Logan,-111.835961,41.718039,,,,,,16795,,,Private not-for-profit,140,23,,
Union Graduate College,-73.92838,42.816692,,,,,,,,,Private not-for-profit,0,,,
Georgia Gwinnett College,-84.001135,33.979915,,,,,,5246,21686,31144,Public,9719,5,,
Doane College-Lincoln Grand Island and Master,-96.650758,40.815541,,,,,,9065,,,Private not-for-profit,726,0,,
Shorter University-College of Adult & Professional Programs,-84.482301,33.92764,,,,,,8160,,,Private not-for-profit,922,10,,
College America-Colorado Springs,-104.760241,38.840858,,,,,,17211,,,Private not-for-profit,322,25,,
The Robert B Miller College,-85.178861,42.333225,,,,,,,,,Private not-for-profit,328,,,
University of South Florida-St Petersburg,-82.635657,27.762618,590,570,560,25,44,5820,20170,31086,Public,4025,22,562,3195
University of the West,-118.082964,34.045985,,,,,,9486,21640,21640,Private not-for-profit,142,33,,
Averett University-Non-Traditional Programs,-79.413195,36.577257,,,,,,,,,Private not-for-profit,790,,,
LIU Riverhead,-72.6991,40.876143,,,,,,,,,Private not-for-profit,56,,,
University of South Florida-Sarasota-Manatee,-82.562951,27.391766,580,570,570,25,35,5587,,,Public,1728,,86,393
The Kingâ€™s College,-74.012348,40.706861,630,600,640,28,71,31300,48717,48717,Private not-for-profit,516,57,127,3033
Ottawa University-Online,-95.263775,38.602692,,,,,,,,,Private not-for-profit,383,,,
Providence Christian College,-118.118491,34.17275,,,,,53,24222,38602,38602,Private not-for-profit,66,46,20,122
Polytechnic University of Puerto Rico-Orlando,-81.254951,28.55147,,,,,,10920,,,Private not-for-profit,82,,,
